X,Y,Index_,ACCNUM,YEAR,DATE,TIME,Hour,STREET1,STREET2,OFFSET,ROAD_CLASS,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,ACCLASS,LEVEL,INVTYPE,TYPE,INVAGE,INJURY,condition,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND
-79.447894,43.657199,80935242,8000743164,2018,"April 23, 2018",2358,23,BLOOR ST W,STERLING RD,2 m North of,Major Arterial,43.657199,-79.447894,Intersection,At Intersection,Traffic Signal,Rain,Non-Fatal,non-fatal,Pedestrian,pedestrian,60 to 64,Major,severely injured, , , , ,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Medical or Physical Disability, , , 
-79.47429,43.683245,6160008,1176361,2010,"July 7, 2010",2359,23,BICKNELL Ave,NASHVILLE Ave, ,Collector,43.683245,-79.47429,Intersection, ,No Control,Clear,Non-Fatal,non-fatal,Cyclist,cyclist,40 to 44,Major,severely injured,Bicycle,Going Ahead, , , , , ,Cyclist and Driver travelling in same direction. One vehicle rear-ended the other.,Other,Had Been Drinking
-79.26588,43.727336,80566002,6001309573,2016,"July 25, 2016",2359,23,KENNEDY RD,MERRIAN RD, ,Major Arterial,43.727336,-79.26588,Intersection,At Intersection,Traffic Signal,Clear,Non-Fatal,non-fatal,Cyclist,cyclist,35 to 39,Major,severely injured,Bicycle,Going Ahead, , , , , ,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Inattentive
-79.42689,43.661745,6588942,1215284,2011,"January 29, 2011",0,0,BLOOR ST W,CONCORD AVE, ,Major Arterial,43.661745,-79.42689,Intersection,At Intersection,No Control,Clear,Fatal,fatal,Pedestrian,pedestrian,60 to 64,Fatal,killed,Other, , , ,Pedestrian involved in a collision with transit vehicle anywhere along roadway,Crossing with right of way,Had Been Drinking, , , 
-79.19569,43.757145,6915781,1266407,2011,"November 27, 2011",0,0,DUNERA Aven,EMCARR Driv, ,Local,43.757145,-79.19569,Intersection,At Intersection,Stop Sign,Rain,Non-Fatal,non-fatal,Cyclist,cyclist,50 to 54,Major,severely injured,Bicycle,Turning Left, , , , , , , , 
-79.418048,43.790209,80792419,7001731321,2017,"September 24, 2017",0,0,YONGE ST,CENTRE AVE,80 m South of,Major Arterial,43.790209,-79.418048,Mid-Block,Non Intersection,No Control,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,30 to 34,Major,severely injured, , , , ,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal, , , 
-79.418048,43.790209,80792420,7001731321,2017,"September 24, 2017",0,0,YONGE ST,CENTRE AVE,80 m South of,Major Arterial,43.790209,-79.418048,Mid-Block,Non Intersection,No Control,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,30 to 34,Major,severely injured, , , , ,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal, , , 
-79.347888,43.774943,7846800,1368270,2013,"July 28, 2013",1,0,SHEPPARD AVE E,DON MILLS RD, ,Major Arterial,43.774943,-79.347888,Mid-Block, ,No Control,Rain,Fatal,fatal,Pedestrian,pedestrian,80 to 84,Fatal,killed, , , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Inattentive, , , 
-79.34529,43.679945,5201585,1087565,2009,"February 9, 2009",2,0,PAPE Aven,LIPTON Aven, ,Major Arterial,43.679945,-79.34529,Mid-Block, ,No Control,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,70 to 74,Major,severely injured,Other, , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Unknown, , , 
-79.45267,43.657214,80240055,5000901118,2015,"May 30, 2015",2,0,DUNDAS ST W,EDNA AVE,2 m North of,Minor Arterial,43.657214,-79.45267,Intersection,At Intersection,No Control,Clear,Non-Fatal,non-fatal,Cyclist,cyclist,50 to 54,Major,severely injured,Bicycle,Going Ahead, , , , , ,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Failed to Yield Right of Way,Normal
-79.397632,43.644942,80257916,5002088367,2015,"December 6, 2015",2,0,KING ST W,BRANT ST,10 m South of,Major Arterial,43.644942,-79.397632,Intersection,Non Intersection,Pedestrian Crossover,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,40 to 44,Major,severely injured, , , , ,Pedestrian hit a PXO/ped. Mid-block signal,"Crossing, Pedestrian Crossover",Normal, , , 
-79.33239,43.807745,5371156,1043405,2008,"June 14, 2008",5,0,3440 PHARMACY AVE, , ,Minor Arterial,43.807745,-79.33239,Mid-Block, ,No Control,Rain,Fatal,fatal,Pedestrian,pedestrian,25 to 29,Fatal,killed,Other, , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Unknown, , , 
-79.33239,43.807745,5371157,1043405,2008,"June 14, 2008",5,0,3440 PHARMACY AVE, , ,Minor Arterial,43.807745,-79.33239,Mid-Block, ,No Control,Rain,Fatal,fatal,Pedestrian,pedestrian,25 to 29,Fatal,killed,Other, , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Unknown, , , 
-79.429813,43.649573,80158382,4001953344,2014,"April 25, 2014",5,0,DUNDAS ST W,GLADSTONE AVE, ,Minor Arterial,43.649573,-79.429813,Intersection,Non Intersection,No Control,Clear,Non-Fatal,non-fatal,Cyclist,cyclist,35 to 39,Major,severely injured,Bicycle,Going Ahead, , , , , ,Motorist makes u-turn in-front of cyclist.,Driving Properly,Normal
-79.386592,43.650778,80631892,4003056806,2014,"October 7, 2014",9,0,UNIVERSITY AVE,QUEEN ST W, ,Major Arterial,43.650778,-79.386592,Intersection,At Intersection,Traffic Signal,Rain,Non-Fatal,non-fatal,Pedestrian,pedestrian,25 to 29,Major,severely injured, , , , ,Vehicle is going straight thru inter.while ped cross without ROW,Running onto Roadway,Other, , , 
-79.60139,43.730445,5053004,1139232,2009,"November 26, 2009",10,0,HIGHWAY 27  N,HUMBER COLLEGE Boul, ,Major Arterial,43.730445,-79.60139,Intersection, ,Traffic Signal,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,20 to 24,Major,severely injured,Other,Other, , ,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Inattentive, , , 
-79.35469,43.792645,5865364,1124459,2009,"August 10, 2009",10,0,FINCH Aven E,DON MILLS Road, ,Major Arterial,43.792645,-79.35469,Intersection,At Intersection,Traffic Signal,Clear,Non-Fatal,non-fatal,Cyclist,cyclist,25 to 29,Major,severely injured,Bicycle,Going Ahead, , , , , ,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Had Been Drinking
-79.168742,43.784529,80631960,4003564717,2014,"December 29, 2014",22,0,KINGSTON RD,LAWSON RD, ,Minor Arterial,43.784529,-79.168742,Intersection,At Intersection,Traffic Signal,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,65 to 69,Major,severely injured, , , , ,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Had Been Drinking, , , 
-79.44219,43.658445,6705452,1266936,2011,"September 25, 2011",130,1,1279 BLOOR St W, , ,Major Arterial,43.658445,-79.44219,Mid-Block, ,No Control,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,50 to 54,Major,severely injured,Other, , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Normal, , , 
-79.507922,43.759272,80497075,5000976277,2015,"June 11, 2015",24,0,FINCH AVE W,TOBERMORY DR, ,Major Arterial,43.759272,-79.507922,Intersection,At Intersection,Traffic Signal,Clear,Fatal,fatal,Cyclist,cyclist,40 to 44,Fatal,killed,Bicycle,Going Ahead, , , , , ,Cyclist and Driver travelling in same direction. One vehicle rear-ended the other.,Driving Properly,Unknown
-79.39089,43.649045,7445198,1306967,2012,"June 17, 2012",25,0,RICHMOND ST W,JOHN ST, ,Major Arterial,43.649045,-79.39089,Intersection, ,No Control,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,20 to 24,Major,severely injured,Other, , , ,Pedestrian hit at mid-block,Walking on Roadway with Traffic,Had Been Drinking, , , 
-79.366695,43.659266,80564319,6001211373,2016,"July 11, 2016",27,0,429 DUNDAS ST E, ,15 m North of,Major Arterial,43.659266,-79.366695,Intersection,Intersection Related,No Control,Clear,Non-Fatal,non-fatal,Cyclist,cyclist,25 to 29,Major,severely injured,Bicycle,Going Ahead, , , , , ,Cyclist and Driver travelling in same direction. One vehicle sideswipes the other.,Other,Had Been Drinking
-79.39079,43.778845,6653601,1244530,2011,"July 18, 2011",28,0,BAYVIEW Ave,MCKEE Ave, ,Major Arterial,43.778845,-79.39079,Mid-Block, ,No Control,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,55 to 59,Major,severely injured,"Automobile, Station Wagon", , , ,Pedestrian hit at mid-block,Playing or Working on Highway,Normal, , , 
-79.244403,43.750331,80887736,6001585257,2016,"September 7, 2016",28,0,DANFORTH RD,BARRYMORE RD,18 m North of,Major Arterial,43.750331,-79.244403,Mid-Block,Non Intersection,No Control,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,20 to 24,Major,severely injured, , , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control","Ability Impaired, Alcohol", , , 
-79.396373,43.648753,80153899,4001680945,2014,"March 9, 2014",30,0,QUEEN ST W,SPADINA AVE, ,Major Arterial,43.648753,-79.396373,Intersection,At Intersection,Traffic Signal,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,25 to 29,Major,severely injured, , , , ,Vehicle turns right while ped crosses with ROW at inter.,Crossing with right of way,Normal, , , 
-79.420032,43.649394,80632470,6000874773,2016,"May 15, 2016",30,0,DUNDAS ST W,OSSINGTON AVE,40 m East of,Major Arterial,43.649394,-79.420032,Mid-Block,Non Intersection,No Control,Clear,Non-Fatal,non-fatal,Cyclist,cyclist,20 to 24,Major,severely injured,Bicycle,Going Ahead, , , , , ,Motorist makes u-turn in-front of cyclist.,Driving Properly,Normal
-79.398433,43.664099,80198361,3001015663,2013,"November 22, 2013",31,0,HOSKIN AVE,ST GEORGE ST, ,Minor Arterial,43.664099,-79.398433,Intersection,Intersection Related,Traffic Signal,Rain,Non-Fatal,non-fatal,Cyclist,cyclist,20 to 24,Major,severely injured,Bicycle,Going Ahead, , , , , ,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Unknown
-79.35139,43.658545,6099927,1149557,2010,"January 24, 2010",32,0,QUEEN ST E,MUNRO ST, ,Major Arterial,43.658545,-79.35139,Intersection,At Intersection,No Control,Clear,Fatal,fatal,Pedestrian,pedestrian,35 to 39,Fatal,killed,Other, , , ,Pedestrian involved in a collision with transit vehicle anywhere along roadway,"Crossing, no Traffic Control",Inattentive, , , 
-79.19979,43.801945,5242858,1106122,2009,"April 30, 2009",33,0,SHEPPARD AVE E,MORNINGSIDE AVE, ,Major Arterial,43.801945,-79.19979,Intersection,At Intersection,Traffic Signal,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,25 to 29,Major,severely injured,Other, , , ,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal, , , 
-79.405978,43.652239,80942703,8000256570,2018,"February 10, 2018",34,0,BATHURST ST,DUNDAS ST W,25 m South of,Major Arterial,43.652239,-79.405978,Intersection,Intersection Related,No Control,Drifting Snow,Non-Fatal,non-fatal,Pedestrian,pedestrian,40 to 44,Major,severely injured, , , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Inattentive, , , 
-79.56569,43.751345,6280140,1196138,2010,"September 14, 2010",35,0,26 FIRENZA DR, , ,Local,43.751345,-79.56569,Intersection, ,No Control,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,15 to 19,Major,severely injured,Other, , , ,Pedestrian hit at private driveway,Other,Had Been Drinking, , , 
-79.439853,43.639941,7795432,1346364,2013,"March 14, 2013",35,0,QUEEN ST W,DOWLING AVE, ,Major Arterial,43.639941,-79.439853, , ,No Control,Snow,Non-Fatal,non-fatal,Pedestrian,pedestrian,35 to 39,Major,severely injured,Other,Other, , , , , , , , 
-79.34879,43.689445,7475182,1319682,2012,"September 1, 2012",36,0,PAPE AVE,COSBURN AVE, ,Major Arterial,43.689445,-79.34879,Intersection,At Intersection,Traffic Signal,Clear,Non-Fatal,non-fatal,Pedestrian,pedestrian,25 to 29,Major,severely injured,Other, , , ,Vehicle is going straight thru inter.while ped cross with ROW,Crossing with right of way,Had Been Drinking, , , 
-79.247493,43.755103,80542289,6001039195,2016,"June 15, 2016",37,0,LAWRENCE AVE E,VALPARAISO AVE, ,Major Arterial,43.755103,-79.247493,Mid-Block,Non Intersection,No Control,Clear,Fatal,fatal,Pedestrian,pedestrian,70 to 74,Fatal,killed, , , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Had Been Drinking, , , 
